name,team,total,tries,conversions,penalties,drop_goals
Nicolas Sanchez, Argentina,97,1,13,20,2
Handre Pollard, South Africa,93,0,9,23,2
Bernard Foley, Australia,82,2,12,16,0
Dan Carter, New Zealand,82,0,23,10,2
Greig Laidlaw, Scotland,79,1,13,16,0
Ayumu Goromaru, Japan,58,1,7,13,0
Dan Biggar, Wales,56,0,4,15,1
Tommaso Allan, Italy,44,1,6,9,0
Julian Savea, New Zealand,40,8,0,0,0
Ian Madigan, Ireland,38,0,10,6,0
Owen Farrell, England,35,0,4,8,1
Theuns Kotze, Namibia,35,1,6,6,0
Nemani Nadolo, Fiji,33,2,7,3,0
Frederic Michalak, France,33,0,6,7,0
Jonathan Sexton, Ireland,31,1,4,6,0
Nehe Milner-Skudder, New Zealand,30,6,0,0,0
Tusi Pisi, Samoa,28,1,1,7,0
Kurt Morath, Tonga,28,1,1,7,0
Beauden Barrett, New Zealand,26,3,4,1,0
Juan Imhoff, Argentina,25,5,0,0,0
Bryan Habana, South Africa,25,5,0,0,0
JP Pietersen, South Africa,25,5,0,0,0
AJ MacGinty, United States,25,0,2,7,0
Gareth Davies, Wales,25,5,0,0,0
Merab Kvirikashvili, Georgia,23,0,4,5,0
Florin Vlaicu, Romania,22,0,5,4,0
Adam Ashley-Cooper, Australia,20,4,0,0,0
Drew Mitchell, Australia,20,4,0,0,0
Nathan Hirayama, Canada,20,0,4,4,0
D. T. H. van der Merwe, Canada,20,4,0,0,0
Tommy Seymour, Scotland,20,4,0,0,0
Morgan Parra, France,19,0,5,3,0
Ben Volavola, Fiji,16,1,1,3,0
Santiago Cordero, Argentina,15,3,0,0,0
Tevita Kuridrani, Australia,15,3,0,0,0
David Pocock, Australia,15,3,0,0,0
Nick Easter, England,15,3,0,0,0
Jack Nowell, England,15,3,0,0,0
Anthony Watson, England,15,3,0,0,0
Keith Earls, Ireland,15,3,0,0,0
Rob Kearney, Ireland,15,3,0,0,0
Mark Bennett, Scotland,15,3,0,0,0
Francois Louw, South Africa,15,3,0,0,0
Felipe Berchesi, Uruguay,15,0,0,5,0
Cory Allen, Wales,15,3,0,0,0
Rhys Priestland, Wales,14,0,7,0,0
Scott Spedding, France,12,0,0,4,0
Pat Lambie, South Africa,12,0,4,1,0
Santiago Gonzalez Iglesias, Argentina,11,0,4,1,0
Tomas Cubelli, Argentina,10,2,0,0,0
Julian Montoya, Argentina,10,2,0,0,0
Matías Moroni, Argentina,10,2,0,0,0
Joaquin Tuculet, Argentina,10,2,0,0,0
Quade Cooper, Australia,10,0,5,0,0
Ben McCalman, Australia,10,2,0,0,0
Sean McMahon, Australia,10,2,0,0,0
Mike Brown, England,10,2,0,0,0
George Ford, England,10,0,2,2,0
Wesley Fofana, France,10,2,0,0,0
Sofiane Guitoune, France,10,2,0,0,0
Rabah Slimani, France,10,2,0,0,0
Mamuka Gorgodze, Georgia,10,2,0,0,0
Lasha Malaghuradze, Georgia,10,1,1,1,0
Tommy Bowe, Ireland,10,2,0,0,0
Amanaki Mafi, Japan,10,2,0,0,0
Jacques Burger, Namibia,10,2,0,0,0
Johan Tromp, Namibia,10,2,0,0,0
Sam Cane, New Zealand,10,2,0,0,0
Malakai Fekitoa, New Zealand,10,2,0,0,0
Jerome Kaino, New Zealand,10,2,0,0,0
Tawera Kerr-Barlow, New Zealand,10,2,0,0,0
Ma'a Nonu, New Zealand,10,2,0,0,0
Kieran Read, New Zealand,10,2,0,0,0
Ben Smith, New Zealand,10,2,0,0,0
Adrian Apostol, Romania,10,2,0,0,0
Mihai Macovei, Romania,10,2,0,0,0
John Hardie, Scotland,10,2,0,0,0
Finn Russell, Scotland,10,1,1,1,0
Schalk Burger, South Africa,10,2,0,0,0
Jack Ram, Tonga,10,2,0,0,0
Telusa Veainu, Tonga,10,2,0,0,0
Chris Wyles, United States,10,2,0,0,0
Michael Stanley, Samoa,9,0,0,3,0
Juan Pablo Socino, Argentina,8,0,4,0,0
Duncan Weir, Scotland,8,1,0,1,0
Vunga Lilo, Tonga,7,0,2,1,0
Agustin Ormaechea, Uruguay,7,1,1,0,0
Morne Steyn, South Africa,6,0,3,0,0
Horacio Agulla, Argentina,5,1,0,0,0
Matias Alemanno, Argentina,5,1,0,0,0
Juan Martin Hernandez, Argentina,5,1,0,0,0
Facundo Isa, Argentina,5,1,0,0,0
Martín Landajo, Argentina,5,1,0,0,0
Tomas Lavanini, Argentina,5,1,0,0,0
Lucas Noguera, Argentina,5,1,0,0,0
Juan Pablo Orlandi, Argentina,5,1,0,0,0
Guido Petti Pagadizabal, Argentina,5,1,0,0,0
Leonardo Senatore, Argentina,5,1,0,0,0
Matt Giteau, Australia,5,1,0,0,0
Michael Hooper, Australia,5,1,0,0,0
Sekope Kepu, Australia,5,1,0,0,0
Dean Mumm, Australia,5,1,0,0,0
Rob Simmons, Australia,5,1,0,0,0
Henry Speight, Australia,5,1,0,0,0
Joe Tomane, Australia,5,1,0,0,0
Matt Toomua, Australia,5,1,0,0,0
Aaron Carpenter, Canada,5,1,0,0,0
Matt Evans, Canada,5,1,0,0,0
Jeff Hassler, Canada,5,1,0,0,0
Jonny May, England,5,1,0,0,0
Henry Slade, England,5,1,0,0,0
Billy Vunipola, England,5,1,0,0,0
Vereniki Goneva, Fiji,5,1,0,0,0
Tevita Cavubati, Fiji,5,1,0,0,0
Nemia Kenatale, Fiji,5,1,0,0,0
Kini Murimurivalu, Fiji,5,1,0,0,0
Leone Nakarawa, Fiji,5,1,0,0,0
Gael Fickou, France,5,1,0,0,0
Remy Grosso, France,5,1,0,0,0
Guilhem Guirado, France,5,1,0,0,0
Nicolas Mas, France,5,1,0,0,0
Yannick Nyanga, France,5,1,0,0,0
Pascal Pape, France,5,1,0,0,0
Louis Picamoles, France,5,1,0,0,0
Giorgi Tkhilaishvili, Georgia,5,1,0,0,0
Beka Tsiklauri, Georgia,5,1,0,0,0
Sean Cronin, Ireland,5,1,0,0,0
Luke Fitzgerald, Ireland,5,1,0,0,0
Iain Henderson, Ireland,5,1,0,0,0
Chris Henry, Ireland,5,1,0,0,0
David Kearney, Ireland,5,1,0,0,0
Jordi Murphy, Ireland,5,1,0,0,0
Conor Murray, Ireland,5,1,0,0,0
Sean O'Brien, Ireland,5,1,0,0,0
Jared Payne, Ireland,5,1,0,0,0
Gonzalo Garcia, Italy,5,1,0,0,0
Edoardo Gori, Italy,5,1,0,0,0
Michele Rizzo, Italy,5,1,0,0,0
Leonardo Sarto, Italy,5,1,0,0,0
Giovanbattista Venditti, Italy,5,1,0,0,0
Alessandro Zanni, Italy,5,1,0,0,0
Yoshikazu Fujita, Japan,5,1,0,0,0
Karne Hesketh, Japan,5,1,0,0,0
Michael Leitch, Japan,5,1,0,0,0
Kotaro Matsushima, Japan,5,1,0,0,0
Akihito Yamada, Japan,5,1,0,0,0
Johan Deysel, Namibia,5,1,0,0,0
JC Greyling, Namibia,5,1,0,0,0
Eugene Jantjies, Namibia,5,1,0,0,0
Dane Coles, New Zealand,5,1,0,0,0
Waisake Naholo, New Zealand,5,1,0,0,0
Brodie Retallick, New Zealand,5,1,0,0,0
Aaron Smith, New Zealand,5,1,0,0,0
Codie Taylor, New Zealand,5,1,0,0,0
Victor Vito, New Zealand,5,1,0,0,0
Sonny Bill Williams, New Zealand,5,1,0,0,0
Tony Woodcock, New Zealand,5,1,0,0,0
Valentin Poparlan, Romania,5,1,0,0,0
Ovidiu Tonita, Romania,5,1,0,0,0
Valentin Ursache, Romania,5,1,0,0,0
Rey Lee-Lo, Samoa,5,1,0,0,0
Ma'atulimanu Leiataua, Samoa,5,1,0,0,0
Motu Matu'u, Samoa,5,1,0,0,0
Tim Nanai-Williams, Samoa,5,1,0,0,0
Paul Perez, Samoa,5,1,0,0,0
Ofisa Treviranus, Samoa,5,1,0,0,0
Peter Horne, Scotland,5,1,0,0,0
Sean Maitland, Scotland,5,1,0,0,0
Willem Nel, Scotland,5,1,0,0,0
Matt Scott, Scotland,5,1,0,0,0
Tim Visser, Scotland,5,1,0,0,0
Schalk Brits, South Africa,5,1,0,0,0
Damian de Allende, South Africa,5,1,0,0,0
Lood de Jager, South Africa,5,1,0,0,0
Fourie du Preez, South Africa,5,1,0,0,0
Bismarck du Plessis, South Africa,5,1,0,0,0
Eben Etzebeth, South Africa,5,1,0,0,0
Jesse Kriel, South Africa,5,1,0,0,0
Lwazi Mvovo, South Africa,5,1,0,0,0
Adriaan Strauss, South Africa,5,1,0,0,0
Latiume Fosita, Tonga,5,1,0,0,0
Soane Tonga'uiha, Tonga,5,1,0,0,0
Fetu'u Vainikolo, Tonga,5,1,0,0,0
Chris Baumann, United States,5,1,0,0,0
Titi Lamositele, United States,5,1,0,0,0
Takudzwa Ngwenya, United States,5,1,0,0,0
Carlos Arboleya, Uruguay,5,1,0,0,0
Hallam Amos, Wales,5,1,0,0,0
Scott Baldwin, Wales,5,1,0,0,0
Samson Lee, Wales,5,1,0,0,0
Justin Tipuric, Wales,5,1,0,0,0
Marcelo Bosch, Argentina,4,0,2,0,0
Rory Kockott, France,4,0,2,0,0
Gordon McRorie, Canada,3,0,0,1,0
Stuart Hogg, Scotland,3,0,0,1,0
Valentin Calafeteanu, Romania,3,0,0,1,0
Alejo Duran, Uruguay,3,0,0,1,0
Patrick Faapale, Samoa,2,0,1,0,0
Colin Slade, New Zealand,2,0,1,0,0
